UMAP 1,UMAP 2,Class
-3.1715407,8.936879,chantelle
-4.665837,5.9684005,chantelle
-2.0076482,8.227242,chantelle
0.14880055,8.6452,chantelle
-5.9956565,6.931784,chantelle
4.8501782,7.7830367,chantelle
-5.1664705,7.6801505,chantelle
1.1130618,8.389007,chantelle
-3.9540477,8.215287,chantelle
-3.9411538,8.310344,chantelle
4.7423887,8.2638855,chantelle
-1.4137971,7.7079005,chantelle
-3.3982906,8.918926,chantelle
4.733865,8.179519,chantelle
-2.200882,7.6376395,chantelle
-4.590741,6.8870244,chantelle
-5.190629,5.7070317,chantelle
-2.8803382,8.395922,chantelle
-4.598374,7.7091417,chantelle
-3.1666944,8.78836,chantelle
-3.3794198,8.987117,chantelle
-2.2355218,8.912467,chantelle
1.3083321,8.569485,chantelle
-3.7141626,6.6754713,chantelle
-2.9044201,8.236971,chantelle
-5.2667046,6.1673446,chantelle
-0.24322505,8.550202,chantelle
-2.945936,8.236159,chantelle
-4.437902,7.6664996,chantelle
-3.5055575,7.5943155,chantelle
-2.6064074,8.726043,chantelle
-5.812505,7.3316455,chantelle
-3.1972866,7.391937,chantelle
-2.2732825,9.047016,chantelle
-6.344553,6.3458123,chantelle
-2.8325906,9.2307825,chantelle
-1.657904,8.567336,chantelle
-5.2105107,5.2897186,chantelle
-2.7922153,9.197621,chantelle
-4.7736044,6.750459,chantelle
-2.5667691,9.285173,chantelle
-4.1479235,6.921916,chantelle
0.9724673,8.359798,chantelle
-6.4398575,6.9475,chantelle
-4.0171247,9.018263,chantelle
-5.4525685,5.437742,chantelle
-3.910864,7.0223274,chantelle
-6.5010867,5.4339314,chantelle
0.60645074,8.474282,chantelle
1.5074316,8.365046,deterrimus
-3.5290682,5.9016495,deterrimus
-3.4326825,8.015769,deterrimus
-5.180355,6.2850266,deterrimus
-2.9065104,6.868748,deterrimus
-1.7440463,8.123616,deterrimus
-4.655721,6.3392696,deterrimus
-3.8134382,7.99897,deterrimus
-2.18685,7.434633,deterrimus
-5.015439,5.4415736,deterrimus
-4.6132064,7.7226152,deterrimus
-4.1945453,5.841284,deterrimus
-3.8427613,6.646902,deterrimus
-5.84299,5.122859,deterrimus
-4.8065886,5.745717,deterrimus
-1.0689099,8.410669,deterrimus
-4.2462587,6.552139,deterrimus
-0.71626586,7.912717,deterrimus
-3.7588756,8.839492,deterrimus
-4.340797,8.136258,deterrimus
-2.810701,8.566408,deterrimus
-6.614256,6.919162,deterrimus
-5.452437,5.8715158,deterrimus
-4.258817,7.5174007,deterrimus
-5.699693,7.4675484,deterrimus
-5.365847,6.446326,deterrimus
-2.7991393,7.0190787,deterrimus
-5.5611334,7.29375,deterrimus
-2.9024405,7.131028,deterrimus
-6.752448,5.6569343,deterrimus
-2.8948312,8.685132,deterrimus
5.0756454,7.817448,deterrimus
-2.2098503,8.24389,deterrimus
-3.4132874,7.8015895,deterrimus
-1.3319026,8.189272,deterrimus
-0.40583313,8.85566,deterrimus
-5.3414235,6.7846613,deterrimus
-5.082005,7.377247,deterrimus
-3.01624,9.275546,deterrimus
-2.3952258,7.5405865,deterrimus
-4.8475986,5.322152,deterrimus
-3.6916823,8.718337,deterrimus
-2.2118654,7.7489777,deterrimus
5.0306573,7.9580135,deterrimus
-5.7584815,7.111064,deterrimus
-3.5839648,7.5325484,deterrimus
-6.683355,5.8225646,deterrimus
-6.3824773,5.380456,deterrimus
0.30995527,8.658975,deterrimus
-4.585306,7.4182544,deterrimus
-6.592476,6.9267454,deterrimus
-5.762384,5.959955,deterrimus
-6.3605886,5.5742974,deterrimus
-5.184898,5.4112616,deterrimus
-0.61966896,8.339593,deterrimus
-4.307477,8.974089,deterrimus
-2.2671666,7.874274,deterrimus
-6.4501195,6.9571967,deterrimus
-4.2707653,7.440241,deterrimus
-4.252288,7.9304276,deterrimus
-6.3059316,6.135211,deterrimus
-4.4316874,7.51964,deterrimus
-4.1273785,4.726465,deterrimus
-4.4357896,6.727103,deterrimus
-5.9617996,5.8279223,deterrimus
-2.2009068,8.432842,deterrimus
-6.2792377,6.4112062,deterrimus
-3.5726209,8.809764,deterrimus
-3.9203708,8.316649,deterrimus
-4.4099035,7.8724813,deterrimus
-3.796985,6.9026656,deterrimus
-4.294872,8.138168,deterrimus
4.354249,8.177681,deterrimus
-6.0961294,5.9035783,deterrimus
-0.9279377,8.196192,deterrimus
